ob_code,disturbance_type,disturbance_comment,disturbance_intensity,disturbance_age,disturbance_extent
SRI-0130,Competition from exotics,NA,High,NA,NA
SRI0131A,Road/trail construction/maint.,NA,Low,NA,NA
SRI0131A,Competition from exotics,NA,High,NA,NA
SRI-0132,Competition from exotics,NA,Low,NA,NA
SRI-0132,Other,ungulate trailing,Low,NA,NA
SRI-0133,Competition from exotics,NA,Moderate,NA,NA
SRI0134A,Competition from exotics,NA,Moderate,NA,NA
SRI0135A,Competition from exotics,NA,Moderate,NA,NA
SRI0136A,Competition from exotics,NA,Moderate,NA,NA
SRI-0137,Competition from exotics,NA,Moderate,NA,NA
SRI-0138,Competition from exotics,NA,Moderate,NA,NA
SRI0139A,Competition from exotics,NA,Moderate,NA,NA
SRI-0140,Competition from exotics,NA,Low,NA,NA
SRI-0140,Other,ungulate trailing,Low,NA,NA
SRI0141A,Competition from exotics,NA,Low,NA,NA
SRI0142A,Competition from exotics,NA,Moderate,NA,NA
SRI-0143,Competition from exotics,NA,High,NA,NA
SRI-0144,Competition from exotics,NA,Moderate,NA,NA
SRI-0144,Other,ungulate trailing,Low,NA,NA
SRI-0144,Erosion/runoff,NA,Low,NA,NA
SRI-0145,Competition from exotics,NA,High,NA,NA
SRI-0146,Competition from exotics,NA,Moderate,NA,NA
SRI-0146,Erosion/runoff,NA,Moderate,NA,NA
SRI-0147,Competition from exotics,NA,Moderate,NA,NA
SRI-0148,Competition from exotics,NA,High,NA,NA
SRI-0149,Other,old ungulate trailing,Low,NA,NA
SRI-0149,Competition from exotics,NA,Moderate,NA,NA
SRI-0150,Competition from exotics,NA,High,NA,NA
SRI-0151,Competition from exotics,NA,High,NA,NA
SRI0152A,Competition from exotics,NA,Low,NA,NA
SRI0153A,Competition from exotics,NA,Moderate,NA,NA
SRI0153A,Road/trail construction/maint.,NA,Low,NA,NA
SRI-0155,Erosion/runoff,NA,Low,NA,NA
SRI-0156,Competition from exotics,NA,High,NA,NA
SRI-0157,Competition from exotics,NA,Low,NA,NA
SRI-0157,Other,ungulate trailing,Low,NA,NA
SRI-0158,Erosion/runoff,NA,Low,NA,NA
SRI-0158,Competition from exotics,NA,Low,NA,NA
SRI-0159,Competition from exotics,NA,High,NA,NA
SRI0161A,Competition from exotics,NA,Moderate,NA,NA
SRI-0162,Competition from exotics,NA,High,NA,NA
SRI0163A,Other,ungulate trailing,Low,NA,NA
SRI0163A,Competition from exotics,NA,Moderate,NA,NA
SRI-0164,Competition from exotics,NA,High,NA,NA
SRI-0165,Competition from exotics,NA,High,NA,NA
SRI0166A,Competition from exotics,NA,Low,NA,NA
SRI0167A,Competition from exotics,NA,Low,NA,NA
SRI-0168,Competition from exotics,NA,Low,NA,NA
SRI-0169,Competition from exotics,NA,High,NA,NA
SRI-0170,Competition from exotics,NA,Moderate,NA,NA
SRI0171A,Competition from exotics,NA,Moderate,NA,NA
SRI0171A,Erosion/runoff,NA,High,NA,NA
SRI-0173,Competition from exotics,NA,Low,NA,NA
SRI-0174,Competition from exotics,NA,High,NA,NA
SRI0175A,Road/trail construction/maint.,NA,Low,NA,NA
SRI0175A,Erosion/runoff,NA,Low,NA,NA
SRI0175A,Competition from exotics,NA,Moderate,NA,NA
SRI0175A,Other,ungulate trailing,Low,NA,NA
SRI-0176,Competition from exotics,NA,Moderate,NA,NA
SRI-0177,Competition from exotics,NA,Low,NA,NA
SRI-0178,Competition from exotics,NA,High,NA,NA
SRI0179V,Competition from exotics,NA,Low,NA,NA
SRI0179V,Erosion/runoff,NA,Low,NA,NA
SRI-0182,Competition from exotics,NA,High,NA,NA
SRI-0182,Road/trail construction/maint.,NA,Moderate,NA,NA
SRI-0182,Erosion/runoff,NA,Low,NA,NA
SRI-0183,Other,ungulate trailing,Low,NA,NA
SRI-0183,Competition from exotics,NA,Moderate,NA,NA
SRI-0185,Competition from exotics,NA,High,NA,NA
SRI-0187,Competition from exotics,NA,Moderate,NA,NA
SRI-0188,ORV activity,NA,Low,NA,NA
SRI-0188,Competition from exotics,NA,High,NA,NA
SRI-0189,Competition from exotics,NA,High,NA,NA
SRI0190V,Competition from exotics,NA,Low,NA,NA
SRI-0191,Competition from exotics,NA,High,NA,NA
SRI-0192,Competition from exotics,NA,High,NA,NA
SRI0194A,Competition from exotics,NA,Moderate,NA,NA
SRI0195A,Competition from exotics,NA,Moderate,NA,NA
SRI-0196,Competition from exotics,NA,Moderate,NA,NA
SRI-0197,Competition from exotics,NA,High,NA,NA
SRI-0198,Competition from exotics,NA,Low,NA,NA
SRI-0199,Competition from exotics,NA,Moderate,NA,NA
