AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
32.060.11,Baccharis pilularis / Danthonia californica,,Association,
32.060.12,Holodiscus discolor – Baccharis pilularis – Rubus ursinus,,Association,
32.060.13,Baccharis pilularis / Carex obnupta – Juncus patens,,Association,
32.060.14,Baccharis pilularis – Ceanothus thyrsiflorus,,Association,
32.060.15,Baccharis pilularis – Rubus ursinus / weedy herb,,Association,
32.060.16,Baccharis pilularis – Frangula californica – Rubus parviflorus,,Association,
32.060.17,Baccharis pilularis – Toxicodendron diversilobum,,Association,
32.060.18,Baccharis pilularis – Artemisia californica – Toxicodendron diversilobum / Monardella villosa,,Association,
32.060.19,Baccharis pilularis – Artemisia californica – Heteromeles arbutifolia,Provisional,Association,
32.060.20,Baccharis pilularis / Annual grass – herb,,Association,
32.060.21,Baccharis pilularis / (Nassella pulchra – Elymus glaucus – Bromus carinatus),,Association,
32.060.23,Baccharis pilularis,,Association,
32.060.24,Baccharis pilularis / Dudleya farinosa,,Association,
32.060.25,Baccharis pilularis – Corylus cornuta,Provisional,Association,
32.060.26,Baccharis pilularis – Prunus ilicifolia,Provisional,Association,
32.060.27,Baccharis pilularis – Salvia mellifera,,Association,
32.060.28,Gaultheria shallon – Baccharis pilularis – Ceanothus thyrsiflorus,,Association,
32.060.29,Baccharis pilularis – Lotus scoparius,,Association,
32.060.30,Baccharis pilularis – (Frangula californica) – Rubus spp.,,Association,14-Dec-16
32.060.31,Garrya elliptica,Provisional,Association,13-Feb-20
32.060.32,Baccharis pilularis / Juncus breweri,,Association,24-Jul-25
32.065.01,Keckiella antirrhinoides,,Association,
32.065.02,Keckiella antirrhinoides – Artemisia californica,,Association,
32.065.03,Keckiella antirrhinoides – Eriogonum fasciculatum,,Association,
32.065.04,Keckiella antirrhinoides – Mixed Chaparral,,Association,
32.070.01,Eriogonum fasciculatum – Lepidospartum squamatum alluvial fan,,Association,
32.070.02,Lepidospartum squamatum – Eriodictyon crassifolium – Hesperoyucca whipplei,,Association,
32.070.03,Lepidospartum squamatum / ephemeral annuals,,Association,
32.070.04,Lepidospartum squamatum – Atriplex canescens,,Association,
32.070.05,Lepidospartum squamatum – Baccharis salicifolia,,Association,
32.070.06,Lepidospartum squamatum – Eriogonum fasciculatum,,Association,
32.070.07,Lepidospartum squamatum / Amsinckia menziesii,,Association,
32.070.08,Lepidospartum squamatum – Eriodictyon trichocalyx – Hesperoyucca whipplei,,Association,
32.070.09,Lepidospartum squamatum – Artemisia californica,,Association,
32.070.10,Lepidospartum squamatum / desert ephemeral annuals,,Association,19-Mar-19
32.080.01,Lupinus arboreus / Bromus diandrus,,Semi-natural Association,
32.080.02,Lupinus arboreus,,Association,
32.080.03,Lupinus arboreus – Ericameria ericoides,,Association,
